31102105    Literary 	68.9
31105187	Literary 	76.1
31105188	Literary 	70.7
31105189	Literary 	84.1
31105190	Literary 	65
31105193	Literary 	96.4
31105196	Literary 	68.4
31105197	Literary 	82.3
31105201	Literary 	87.3
31105202	Literary 	81.7
31105204	Literary 	66.4
31105205	Literary 	55.6
31105206	Literary 	56.7
31105208	Literary 	80.7
31105209	Literary 	88.7
31105211	Literary 	71
31105213	Literary 	91.4
31105214	Literary 	83.3
31105218	Literary 	77.9
31105219	Literary 	62.7
31105220	Literary 	89.1
31105221	Literary 	94.3
31105222	Literary 	87.3
31105223	Literary 	74
31105226	Literary 	70.1
31105231	Literary 	79
31105232	Literary 	77.3
31105233	Literary 	83.7
31105234	Literary 	77.3
31105235	Literary 	88.1
31105237	Literary 	83
31105238	Literary 	80.7
31105239	Literary 	67.9
31105240	Literary 	66.7
31105241	Literary 	68.3
31105242	Literary 	95.6
31105243	Literary 	71
31105244	Literary 	57
31105245	Literary 	61.4
31105247	Literary 	86.7
31105248	Literary 	71.7
31105249	Literary 	79.7
31105250	Literary 	71.1
31105251	Literary 	67.1
31105252	Literary 	65.4
31105253	Literary 	61.1
31105254	Literary 	95.9
31105255	Literary 	57.4
31105256	Literary 	77.9
31105257	Literary 	77.1
31105258	Literary 	60.6
31105260	Literary 	72.1
31105262	Literary 	96.9
31105264	Literary 	75.7
31105265	Literary 	57.6
31105266	Literary 	54.7
31105269	Literary 	77
31105271	Literary 	62.7
31105273	Literary 	59.9
31105274	Literary 	79
31105275	Literary 	91.4
31105276	Literary 	64
31105277	Literary 	66.4
31105278	Literary 	59
31105279	Literary 	89.4
31105281	Literary 	73.7
31105282	Literary 	60.4
31105283	Literary 	90
31105284	Literary 	68
31105285	Literary 	70.6
31105286	Literary 	91.3
31105289	Literary 	90.7
31105291	Literary 	74.6
31105292	Literary 	74.3
31105294	Literary 	81.3
31105295	Literary 	63.4
31105297	Literary 	62.9
31105299	Literary 	90.4
31105300	Literary 	72.6
31105301	Literary 	76.6
31105302	Literary 	85.4
31105304	Literary 	63
31105306	Literary 	70.4
31105307	Literary 	62.7
31105308	Literary 	76.1
31105309	Literary 	75
31105310	Literary 	66.7
31105311	Literary 	67.7
31105312	Literary 	95.9
31105314	Literary 	64.1
31105315	Literary 	65.4
31105316	Literary 	58.4
31105317	Literary 	65.7
31105318	Literary 	77.7
31105319	Literary 	67
31105320	Literary 	72.7
31105321	Literary 	76
31105322	Literary 	86.1
31105323	Literary 	82.6
31105324	Literary 	84.7
31105325	Literary 	95.4
31105326	Literary 	73.4
31105327	Literary 	69
31105328	Literary 	56.7
31105329	Literary 	53.9
31105330	Literary 	89.1
31105332	Literary 	88.6
31105333	Literary 	88.3
31105334	Literary 	90.9
31105335	Literary 	73.4
31105336	Literary 	83
31105337	Literary 	69.4
31105338	Literary 	78.1
31105339	Literary 	63.4
31105340	Literary 	80.6
31105341	Literary 	90.4
31105343	Literary 	82.1
31105344	Literary 	74.6
31105345	Literary 	56.1
31105346	Literary 	79.1
31105347	Literary 	89.4
31105348	Literary 	78.9
31105349	Literary 	84.6
31105350	Literary 	75.1
31105352	Literary 	83.1
31105353	Literary 	57.1
31105354	Literary 	78.6
31105355	Literary 	83.9
31105356	Literary 	85.1
31105357	Literary 	91.6
31105358	Literary 	95.4
31105361	Literary 	60
31105362	Literary 	74.6
31105363	Literary 	55.9
31105366	Literary 	65.9
31105367	Literary 	73
31105370	Literary 	76
31105371	Literary 	58.7
31105373	Literary 	63.7
31105374	Literary 	87.9
31105377	Literary 	89.7
31105379	Literary 	85.1
31105380	Literary 	88.3
31105381	Literary 	79.9
31105382	Literary 	88.3
31105383	Literary 	76
31105384	Literary 	64.1
31105385	Literary 	63.3
31105386	Literary 	69.1
31105387	Literary 	61.7
31105388	Literary 	66.6
31105390	Literary 	55
31105392	Literary 	85.7
31105393	Literary 	76.4
31105395	Literary 	69.3
31105399	Literary 	65.3
31105402	Literary 	61.7
31105403	Literary 	61.9
31105404	Literary 	81.7
31105406	Literary 	73
31105407	Literary 	64.9
31105408	Literary 	70.7
31105410	Literary 	78.4
31105411	Literary 	82.1
31105412	Literary 	76.1
31105413	Literary 	79.6
31105414	Literary 	77
31105415	Literary 	73.6
31105417	Literary 	87.6
31105418	Literary 	83.6
31105419	Literary 	83.1
31105420	Literary 	88.6
31105421	Literary 	86.1
31105422	Literary 	59.1
31105423	Literary 	55.1
31105424	Literary 	65.7
31105425	Literary 	82
31105426	Literary 	80.7
31105428	Literary 	90.9
31105429	Literary 	67.6
31105430	Literary 	90.4
31105431	Literary 	55
31105433	Literary 	60.6
31105434	Literary 	53.4
31105435	Literary 	81.7
31105436	Literary 	75.9
31105438	Literary 	71.6
31105440	Literary 	58.1
31105441	Literary 	95.4
31105443	Literary 	65.4
31105445	Literary 	61.4
31105446	Literary 	83.9
31105448	Literary 	73.9
31105449	Literary 	75.7
31105451	Literary 	58.9
31105453	Literary 	75.7
31105455	Literary 	80.4
